algorithm,is_gpu
annoy,false
cuvs-cagra,true
cuvs-ivf,true
cuvs-ivfpq,true
faiss-gpu-ivf,true
falconnpp,false
flatnav,false
ggnn,true
glass,false
hnsw(faiss),false
hnswlib,false
ivf(faiss),false
ivf-rabitq(faiss),false
ivf-turboquant(faiss),false
ivfpqfs(faiss),false
lorann,false
mlann-rf,false
mrpt,false
ngt-onng,false
ngt-qg,false
nsg(faiss),false
puffinn,false
pynndescent,false
rabitq-hnsw,false
rabitq-ivf,false
roargraph,false
scann,false
symphonyqg,false
vamana(diskann),false
vamana(svs),false
vamana-leanvec(svs),false
vamana-lvq(svs),false
