dataset,type
agnews-mxbai-1024-euclidean,in-distribution
arxiv-nomic-768-normalized,in-distribution
ccnews-nomic-768-normalized,in-distribution-additional
celeba-resnet-2048-cosine,in-distribution-additional
coco-nomic-768-normalized,out-of-distribution
codesearchnet-jina-768-cosine,in-distribution-additional
glove-200-cosine,in-distribution-additional
gooaq-distilroberta-768-normalized,in-distribution
imagenet-align-640-normalized,out-of-distribution
imagenet-clip-512-normalized,in-distribution
laion-clip-512-normalized,out-of-distribution
landmark-dino-768-cosine,in-distribution-additional
landmark-nomic-768-normalized,in-distribution
llama-128-ip,out-of-distribution
simplewiki-openai-3072-normalized,in-distribution-additional
yahoo-minilm-384-normalized,in-distribution
yandex-200-cosine,out-of-distribution
yi-128-ip,out-of-distribution
